order_id,products
2774568,17668 21903 39190 47766 18599 43961 23650 24810
1528013,21903 38293
1376945,33572 17706 28465 27959 44632 24799 34658 14947 8309 13176
1356845,11520 14992 7076 10863 13176
2161313,11266 196 10441 12427 37710 14715 27839
1416320,5134 21903 21137 24852 48283 17948 41950 21616 24561
1735923,17008 2192 9387 196 31487 15131 35123 12108 34690 42913
1980631,13575 6184 9387 46061 13914 41400 22362
139655,27845
1411408,22008
2940603,30592 19894 44632 10339 14947 18531 31615
1192143,47626 8424 24852
280888,32566
3202221,46979 21137 24852 9637 21927 43692 45364 4793 13629 27966 49215 45774 10831 17630 39911 11130
3222866,40706 13187 37131 32912 7969 38690 33198 8501 32441 18894 34254 35921 14947 15718
707453,45066 42585 48230 21137 47766 694 18150 24852 21267 32030 44830 7969 8518 4942 39275 21903 6111 28156
1320132,44632
882556,28289 47626 42768 24852 16797 25890 48679 28204 33198 28849 23219 30391 46906 15290 41149 44229 5450 7371 1870 13535 8424 18027 3583 30962 9076 5373
2431024,22035 17044 25246 27555 34217 39928 6975 5699 16965 5450 5322 24799 29926 13176
2174416,47626 40604 10017 36929 15712 18798 13176
1325316,26165
320326,24852 41896 42828 45646 35163
2128599,7628
1099519,22035 28058 5428 26351 13176
144494,23431 46260 16959 23106 39108 14947 39408
3024191,27521 30233 42450
2817181,260 18828 41618 28058 22559 11945 19677 1377 26209 5876 47867
2883656,24852
1970262,45 21567 12872 44683 28849 4274 48364 26369 21267 30489 13176 24964 29071 21903 28058 22451 4562 27105
2681168,11777 34358 47167 22151 34993 27845 42736 40198 37131 25890 46886 38739 36735 4605
1345233,21903 21137 40146 13176 1695
2412507,18023 5258
139487,21386 6184 196
3302990,38689 27344 21616 21137 24852
1189294,21137 26317 26369 5479 13176 25527
1368861,1940 23334 14335 5445 32854 6884
1626588,14365 31808
36863,27521 34050 24964 21137 20114 22935 32177 27086 45007 17872 5479 13176 10749
969538,31263 48690 38461 25204 41651 47941 13643 8030 16269 30120
688716,3721 5077 47209 13176
1058680,32768 2563 44570 12339 44106 23665 4210 30845 43655 46735 30356 6340 37113 25854 41273 43872 37250 47006 13733 32165 470 16890
831748,5782 21938 44142 40174 5750 43768 33791
2710859,21903 24852 47766 45104 45007 28373
1500625,1674 40332 10673 8769 26700 29646 16464 40531 32096 36086 34300
726111,47766 12756 44632 13176
2567075,6692 24129 12381 12896 35951 1695 32478 31481 37646 30489 18727 16262 9124 34217 39928
1855063,27845 27966 17794 32655 3988
2588536,2611 27767 28289 21137 26790 2825 24852 33572 18272 47521 49111 5612
1658650,47626 21616 19057 28289 14992 47766 11937 40706 38159 24852 22825 44359 1890 44910 21903 33731 45007 19934 47591 5612 39928
36740,13841 27726 3176 29805 10374 26312 36058 7393 36126 25976 35199 25495 2010 18927 20463
2675738,39685 5031 37543 46226 46551 16696
3052059,9421
2943466,2825 5258 11790 21137 24852 27423 38313 13870 14947 5876 3957
3400496,46906
1920100,21903 35221 34458 22582 37687 30391 2748 49235 47209 17652 46969 22908
2993890,30471 26648 13176
1172828,23909
2587424,13060
2760277,29603 9018
2691733,41658 4799 49488 47990
2769561,18434 9224 45066 36389 42585 47209 11941 11447 42699 21227 40706 3376 37192 13176 26497 24964 21405 22963 30135 45007 41950 27104 38383 23543
2029462,17794 19348 38453 11090 8424
1817659,28934 26128 2962 35121 25659 25666 4472
470997,38311 7515
569815,23296 42372 24852 15902 4920 12218 49496 26094
2517930,35842 49683 27156 26165 20119 6341 24852 42265 5428 8518 24964 21903 38383
2378064,7681 13062 6287 49683 45603 19894 30776 20794 28398 28535
169451,13176
2986791,15386 28204 13870 20580 47717 17526 42123 37646 13176 17794 2966 21914 21405 16797 16321
1239084,10768 5141 49235 49236 6760 2180 38558 12469 30391 23233 42701 6873 38127 33527 11512 24852 27454 45374 12099 44359 5450 13646 8021 17758 13166 16759 13176 27521 32655 22935 12700 21936 18882 2509 40910 31215 46069
3191854,49191 4809 40174 41806 19057 21137 41658
1132910,30233 38948 4138 28204 36929 28740 27744 24184 47766 1194 1217 21704 42701 8409 23265 28906 42750 24852 41255 47919 28476 41290 27086 17872 37330
2088686,5380 1158 47626 27531 29837 26128 42265 30489 9390 31553 23236 39877 46802 5479 40311 39928 3583
3358588,9 47242 19348 22959 27730 4210
1283403,35918 47209 35951 9839 27267 21137 40604 3835 13176 38383
2098786,4482 13447 29344 32578 19660 26324 6873 8929 27509 13176
795256,8193 9839 10385 21137 8859 48364 23288 30489 3376 28985 18234 22418 45007
2399184,4098 12315 28199 77 49235 12919 47229 21137 10385 4781 27845 26317 11005 24830 33043 24852 4920 31040 19819 44910 40310 38275 32139 9122 43961 11710 18370 27086 22993 23516 36316 48112
862070,11853 34969 41665 43205 17634 30480 24852 17352 38383
313331,19660
3241020,21709
1549872,1160 20119 5468
1653971,1194 33198 15424 3318
2318705,20995 24964 29195 21903 21137 47766 32935 12341 30391 21953 35140 8518 35547 41950 27881 21616
1882331,24852 47931 27579 18523
1696774,36099 17615 41680 1366 18811
2686576,24852 21800 9387 432 46802 21872
3048274,26309 15399 19598 13712 34224 20084 45599
1141566,4920 43352
3069370,27544 24489 12471 16965 11462 6628
2969880,24964 21903 47766 16185 27966 13263 44632 35168
2726815,15424 26231 43295 29546 9597
1862801,17454 49235 28769 35951 21137 47766 27845 24852
865014,47766 34969 16797 41787 23234 11361 24184
2572142,13225 24852 27292 16797
1579044,6656 47626 49683 34358 37646 24852 10017 41787 4472 27521 21903 7058 12258
346816,3873 16350
3116687,20658 26882 26988 41406 39454 12902 23405 47987 35759 43967 15317 33793 7224 37980 15564 25810 7505 19863 46541 38428 30251 3631 34355 7778 16096 42895 42913
158824,15124 33819 28842 47793 15925 19660 33231 46416 723 10070 5077 4317 26209 27238 4591 42352 44536 23803 46844 4605 44799
2306683,34 28476 23765
939128,46906
1242621,40236
82598,13176
1177551,31380
61423,6184 8057
1105633,21137 24852 35997 28204
930307,4357 24852 22677 39190 2805
588332,6656 21137 32579 27521 3490 19875
2964001,14233
1971668,6656 46667 8809 8859 45763 19660 9934 33000 48364 17704 29487 28985 18234 5450 13176 21405 34243 5578 45007 38374
1452849,3143 46667 16973 42592 26209 35939 47209 13984 30391 5876 16133 43295 8518 34126 10621 21903 21938 31717
2242945,20995 22035 49175 25138 7801 22657 27845 6347 16589 32465 35547 8412 17652 28934 42265 2846 2344 29487 46906 46969 23439 21903 49075
465851,40910 79 45948
3088338,42508 432 21454 26706 42347
3037363,20161 8963 48199 21070 43295
2305779,22935 22938 48174 12341 42043
632748,28080 24701
2770483,44422 21543 9018 27325
143045,40002 8277 20600 43654 21137 8479 25890 32585 42828 11100 39275 13176 21903 35221 24561 12276
2481483,19660 23662
2364890,5322 18095 19376
1979817,21380 1194 27307 21709 5212 14947 5876 4472
2193705,21903 40742 29223 6184 4149 12341 40120 6087 39275 30827 8048 38768 33783 48762
1160743,13176
239545,13702 19862 30489 2482 30774 43961 27966 29127 27086 8654 42450 36830 42342 39146 35951 34295 9339 34943
729099,12341
906822,32303 4920 42447 38768 25588 8571 23423
887842,20995 24082 43086 25720 20632 45763 33055 33120 39275 1468 27104 31717
1185710,28204 19508 45633 49236 9839 21616 21137 27845 8424 21267 24852 42265 38689 25890 39216 24964 21903 35221 22935 27548 16797
1237726,28427 20876 24852 1447 46654 39877 26209 34921
572050,31846
1753574,22115 42606 24184 34448 10385 21137 47766 36011 27845 6348 24852 43295 25890 13176 19348 38293 18838 22935
442242,7521 3957 25718
3376600,13829 8710 17949 13870 15950 5212 47209 24184 17027 47761 46747 20127 1194 26283 9913 43726 19678 46820 26856 2295 26369 40706 37646 24852 42265 43295 15649 14633 27966 45937 3957 40310 45957 21903 22935 30639 28597 33754
2557552,47626 21903 34448 24852 2809 1468
2391680,21137 22721 26369 42265 39275 13176 43394 21903 45007
2196307,18828 17429 35221 29370 31040 47943 14924 44632 4957 3957 40571
198531,24195 24852 30442
1281623,33055 162 25513 28204 47029 49235 8277 1511
1309059,21903 24852 47766 10749
654116,49191 25146 18498 47683 44116 24669 39581 36011 6829 36035 31958 22242 45825 21781 32047 16797 16844 20955
2761369,35921 49236 26800 33572 27966 13176 22935
1918388,14084 5134 42265 25931 42585 27104 33120
3073553,18434 2063 48205 14947 35951 4210 24184 35503 29941 24852 340 40289 16797 12703 486 33768
1266894,19761
2185735,12807 37022 21174 1463 43961 48450 8021 49241 47209 19571 3957
1676841,38928 49235 32478 18023
1088553,21137 27845
65467,47630 24852 35140 1511
2314209,45763 33129
3407461,43154 1940
2372519,8193 41722 6533
2247264,1194 41549 24852
2651333,20114 19638 40174 1321 28985 432 8153
1990335,43598 43961 21663
668032,6347
2730481,47616 14947 19057 20082 47766 7916 4920 27966 19348
1032696,24838 47626 37646 24852 42265 13984 5708 47209
3355968,43295 48679 25138 30169 35951 13176
1945605,44292 16262 35221 5785 12576 47144 4792 42828 21709 27086 30290 8021 44632 48988
1098067,3585 14467 37158 4421 36550 23644 47209
2890507,1409 8710 43432 16663
2519594,45066 47626 14874 16953 47209 43643 39570 9390 2748 8424 46313 20734 24838 29460 42265 13083 46381 27966 39275 13176 46969 45965 45504 33731 6104
1493300,11520 24852 18465 17706 13113 8277 17630 7781 13176
476412,6774 5785 24852 5450 32153
2151106,21137 16541 47141 4776 28227 42820 24269 43352 13176
293692,34050 27548
836275,24852 37017 16816 32566
1956871,3999 23719 10411 28204 45 34502 35163 4443 13921 5101 35951 36214 36735
68117,48002 9605 49030 21386 17676 26165 17341 12870 35914 49227 21333 18284
3387692,20119 24221 27845 18670 4920 39877
543041,22035 26683 37687 26497 12674
1455788,28296 23819 40354 20919 18104 33852 4674 48071 41805 27612 1775 43772
1490499,47626 49236 28842 24852 11140 48577
1324947,20995 2611 47156 34448 21137 37158 27966 13646 13712 16797 13225 33198
891657,20995 35921 9337 12953 41149 46313 20734 47388 28476 8518 13176 29127 43484 18413
3112323,36258 18523 44267
1241495,38984 8309 21137 25837 36082 260 24838 19741 13629 27966 13176 49026 35221 8174
1112531,45840 24857 32478
1545001,30233 17487 21607 26810 24852
1267591,24852 3860 4920 16797
944071,13944
606811,24841 22025 21903 21137 1940 24852 31257 18465 26790 14633 36717 16254 9595 9598
1901134,48395 24852 32689 30003 43209 49381
1461409,45246 32864
1036348,47209 13176
1803743,43631 2770 13249
3259141,27267 46011
2377342,42360 11182 34234 12508 27360 2934
2080645,21019 27196 16961 19057 5825 20166 47329 41273 41290 13176 42372 1940 34234 3044
599014,47626 26384 20114 27104
587740,23296 33548 8475 17317 47965 38241 7533 44156
877079,16290 23427 31683 34 24964 26209 22888 23909 26800 43961 24852 18389 12916 14233 41787 9438
3360645,47877 7026
1887969,24852
3100473,17948 2078 48679 39984 47209 34458 32935 26315 35547 5876 40706 13083 22825 9531 27966 34126 19820 3957 13176 24964 32134 21903 22935 27104 42479 10749
123641,32465 31964 19348 29615 26604
2104476,40706 20995 37646 21903 24852 35221 47766 12820 23060 35364 48679 43768 37687 30391 43961 45246 18370 27845 45007 8277 5077 23765 39928
3025259,32018 47766 36144 10036 19511 12099 22470 32740 3434
203528,18465 10831 48745 9839 47766 38557 32931 27845 43768 42265 11555 22825 27966 13176 46979 21903 11710 45007 39928
1094091,34050 25230 4793 5450 42701 39527 30440
764108,27522 18552 1695 43693 40261 20298 24920 42719 8047 13176
1386850,28289 17794 32134 43789 32655 21903 42265 22959 18224 30391 48058 24125 44359 45007 42585 48988 27104 31717 21616 3952 46194 47734 45948
458905,28682
728126,13866 28226 35914 2229 24852 29993 15709 5535 30117 10673 22963
1886032,38273 9346 34050 40709 10761 28553 21903 44560 21267 3481 35108 13733 2094 29487 28985 16185 11068 35004 4421 581 12872 22474 42828 4942 32717 35921 46802 5337 26723 19048 36606 13176 4605 24830
630214,14992 24852 6187 9901 14901 45622 449 6340 2120 8013 11869 23909 44799
1533834,40332 24852 25108 40759 13524
736391,14979
1470781,45570 27966
2360269,22151 13834 4879 2962 39581 36126 28204 45761 25804 27086 5077 49628 49141
1237146,49683 24852 20919 4942 49235
3128663,26881 28364 13424
2535468,27156 6184 35886 25653 12341 13176
1619858,47626
999537,30850 32700 23909
162228,38662 42265 4920 45763 22220 20574 21616 13176
160588,11777 48205 29848 35163 34668 45007
2914973,1025 46979 9092 47626 24852 22935 9366 34969 25890 22451 31927 43352 29926 26604 47734 36216
153911,17920 43400 18465 33198 44471 11984 30035 605 20598
1530394,22035 5212 47209 47766 29370 11520 48415 42828 432 19895 10199
1018776,32689
3158092,12697 35123 39604 33909 4605
1788231,47626 6182 2091 28204 37464 18523 26209 11937 1194 35522 46820 28942 24852 11543 42265 22825 14133 41297 38739 9076 13176 21417 22959 45007 23543
2580369,35939
2866997,21137 24852 32665 20379 29987 23986 30391 5575 43087 27104 27000
1629029,5258 21903 17948 48679 27695 1337 47943 9421 40156 24668 27104 39782 7922 13176
1158445,24583 47626 36522 49075 8903 44632 10339 8424 19068 3583
1184388,31396 32837 16703
1261211,45066 21137 41618 2450 432 17224 21607 13176
2976551,5785
524582,49683 47144 34969 27845 34511 37646 49114
2742254,20738 47747 35336 24852 25110 23962 23341 29487 23909 29553
39629,24838 11576 5479 13176
2496659,20995 45588 13375 40621 23037 17122 24852 10032 27966 26456 47029 40376 12218
2676901,18564 35846 15134 34230 37886
1078531,22935 48171 41259 4920 21077 5077 8174 19057
2278368,11776 5764 37646 39190 32285 38944 18465 47147 36397 27695 2228 38837 37687 44632 22501 5479 18281 5876 13176 10749
3196397,40198 25211
695415,44632 14947 36011
2121710,23430 30630
2904666,37646 47766 30489 21938 30391 28985 19660 46676 18523 41950 26209 31717 5479 32747 21872 13176
1497682,2855 48205
178418,27521 21137 5785 30233 22935 27966 5450
391588,8193 7175 7235 45123 19057 41593 651 34969 40604 11933 27845 11005 32579 6489 33120 13176 24964 13249
1055153,28204 20574 6343 40174 40706 24852 4920 41844 13198 34214 32734
1176544,34969 36029 20285 16710 11494 20842 7035
1170109,37388 17579 16558 17898
2471966,38400 45066 47626 48657 25115 28204 1582 25146 38974 48205 39507 22108 26209 17008 20114 21153 49340 31423 10957 26321 46844 47366 23322 23909 22395 19368 14286 27096 40939
1994195,36865 1930 21903 24852 36011 28465 27344 24799 9839
2513235,24852 29010 38511
1624388,33000 8571
3020209,21137 2966 42445 13176
3255859,39812 24964 651 29326 17807 47766 22935 38689 22308 44359
2005070,48775 42768 6948 1199 4799 27845 47209 13176
2688906,47209 8518 3952 13176 24964 22935 24489 27104 1516
2170508,38689 1379 19019
2563471,1 29698 4377 8859 34862 48304 40240 18359 3260 22340 4047 30553 14564 18790 47977 36843 43631 21757 13951
1750505,25280 24852
2318244,45066 36011 13176
242483,45570 24838 44683 24852 12341 27845
1272828,35921 24852 16797 38817
362619,39046 21129 37776 36923 25279 38730 31964 36316 47977
1168266,42887 1940 2536 23535
141543,45154 9175
3183367,44422 24489 48857
1797124,196 17957 22802 15541
89381,49191 30504 43631
1423050,27744 24838 1063 26683 42443 39276 31663 43295
1249392,28928 29447 24830 35221 47766 26914 25890 3896 36036 44632 28535 13176
3311636,47209 5876 31933
439205,19057 24852
420520,9544 9387 49647 24852 5782 3512 16607
2754200,42504 24852 28204 35628 39982 3398 25804 11983 5077 9558 23909 30696 31981
2558743,16396 38452 28237 8277 46166 94 32864 47209 28785 20081 21137 5785 19611 8866 26278 14010 27845 11520 30489 43295 28476 27966 19272 25936 5479 5484 13176 31127 10199 37349
1287397,21709
1519990,47626 24852 47766 27086 42736
1671355,37646 21903 24852 34993 39928 27966 11512 46676 14050 24799 47209 7916 25837
2791256,24964 21903 21137 19348 24852 30489 17949 34217 19115 17974 24631 37067 39247 24799 10343 47209 39275 19057 40310
2520517,5985 21292 32689 12341 8571
1930805,31651 6184 47402 40939 11759 10326 13176
1502827,38453 49235 5612 27845
1054066,47156 10467
1753123,43154
109911,46979 24964 47626 21903 49683 24852 19893 43961
934581,22935 48034 27966 35140 31948 32864 26209 5479 14833
311086,23044 33845 22123 7393 29447 47447
2997340,1541 32133 30727 45061 17419 49683 24852 148 47766 1685 15130 16797 25890 40997 22959 29487 23734 4920 41787 40136 8424 7156 24184
216270,17794 37646 22035 24489 39928 29370 27454 1215 42450 8022 24024 11352 13176 40310 43643
889691,14858 46485 20392 3896 27086 13646 36070 5612 19966
2676926,47626 37646 20114 47766 2966 1313 2091 21938 31683 34380 35921 47209 44142
1146075,17419 32655 18838 5785 3243 14764 24125 42445 5353 16759
3168076,40706 21903 39928 39275 13176
2316252,21573 32403
1199748,47626 4113 44570 47766 24218 11983 40332 10151
1196886,6046
2864780,21903 24852 16168 4792 13249 48857 35045
2101491,47626 26209 14947 47717 7781 9839 7806 21137 16083 9444 30949 13560 260 24852 44310 42265 8518 36695 22908 46979 6532 7559 3464 21938 16363
2308945,34050 48645 47626 40332 21137 24852 169 26324 26209
551385,8859 22228 21903 22959 19376 30148
2065552,14348 17426 6166 16921 20019 34358 39491 2120 1612 18019 19057 40586 20114 17555 14999 35003 43772 28427 22309 20842 29553 13176 21376 26510 3990 34217 28092 27104 49633 13802 44533
2619795,8744 28204 34358 44142 24184 47766 22695 22186 9387 37072 13544 37131 24852 20378 432 49098 23005
92308,3594 47766 40223
2869963,11520 21903 42265 34969 6347
221995,21195 18443 21903 32478
2364225,24852 36186 4605
2383884,1 22362
1409336,46650 35921 26209 40593 29328 47766 29370 27845 9424 41220 40199 30489 3880 44359 31572 31073 42342 16759 13176 27548 27104
2985179,41220 23383 35951 13176 46584
2510588,27695 36929 49235 9825 6343 27966 13176 46990
2724284,22054 39475 25558 42840 12923
406182,18432 32303 27209 35921 8800 1642 47226 27313 21689 10032 1843 33614 3919 23909 37250 38793 45961 12232 8149 37886
3359540,16797 30633 4724
1382149,40198 12456 32177 4920 46175 13176
113476,5115 18883 47734 4472 4605 33279
172394,7563 21137 47766 25890 10305 6985 17872 4574
1017522,12545 46979 21903 42265 40604 8479 25005 32177 37687 27325 34243 5578 44632 31717 5991 39411 13176
1148846,27985
1389899,9741 47626 13951 19894 17080 6350 9458 2559
383770,7681 47626 42526 48559 5484
1344043,23565 16398 47766 11945 27949 38205 26576
2172762,1689 49520 25466 20378 10673
1635368,24139 26706 9839 5241 44201 45840 13176 33198 32201
624714,46226 25 27945 1090 34117 48205 2639 7901 45279 3044 30320 48246 44536
3102231,19019 44142 1940 41950 5612
3070543,47616 18441 9741 49683 47156 45633 48720 11352 21137 11440 27845 29941 37646 3855 22312 9534 33125 13176 38274 32717 2014
1378259,24852 10616 16320
951592,5385
2270224,41485 40486 47209 21137 23293 47888 24852 38185 9075
3235117,22035 21137 27845 5392
1720960,11266
2279794,25480 32655 9121 12879
1248981,47652 31292 48205 18027 18078 24279 48894 3849 24852 2350 5450 11140 31215
1516872,47766 13031
533523,49235 7781 39041 21137 1688 6348 31960 19173 10481 277 29993 8501 27966 13176 48004 26505 13203 1940 10666 32685 10673 44980 6585 43961 47570 5603 38374 8174 24561
20345,10753 23043 45066 14870 18465 15399 26165 47672 7781 21137 37029 34511 27344 7916 17652 37646 24852 42265 28465 41787 27966 25931 43352 13176 27548 15290
2771992,30597 39832 45596 9508 37158 28199 7606 4792 14778 17982 20955 31964 24799 33894 36978
3118092,25152 6218 46667 26209 26746 30391 5825 43768 41259 26940 34126 39275 6008 17794 45007 27104
1242668,24852 18071 8859 34262 44925
352630,27521 21903 19240 1203 32566 22713 19660 27999 5876 3957 13176
2072510,11520 2086 5450 23383
1237738,24101 22070 15424 35921 47209 20082 21137 47367 21288 27966 30569 39275 12772
121516,19209 7693 48527 46483 12845 32303 49492 23909 39922 24053
1523498,45580 47124 26871 21333 28515
2239739,31504 47766 33198 27845 48967 23375 31343 5491
1970457,23044 37388 22035 20574 47209 19057 4210 13431 21137 18594 27307 30391 4793 28862 9407 4799 41165 40706 40199 21267 42265 35108 47912 35628 27454 3397 4421 42342 13176 7559 8087 35767 46565 46584 13819 10749
2525507,45 16973 47209 21137 4781 11520 24852 22935 46069 22008 10749
2786948,40706 49683 24852 31640 14874 2846 432 32689 32864 26856 21614 6383
3032161,8204 15383 8859 33827 22952 28204 34487 35383 46522 39108 2038
2788023,47626 20754 19660 33120 21108
1392421,40742 21288
2491706,26497 2314 39185 24852 11796 39581 41373 16797 43295 21282 22941 30751 39462 11951 16816 16696 16953 19003 41787 19389 21568 24643 13636 29252 49481 20171 11215 36050 36180 46939 13536 8804 19178 40939 26348 37229 44654 31343 12782 4210 18418 9076 36086 45054
2572782,47626 4210 16797
23500,35842 24838 49416 18070 6734 43086 44624 44632 27104 3957 13176
2262783,11520 42244 41618 8277 33000
1052165,25487 9047 14578
2544926,13966 11759 32478
527075,45066 44562 45685 21115 43772 42252 24852
3018942,17122 10258 22802 14233
2933690,5130 47626 47630 10644 47766 47144 2480 4410 4945 41950 39275
1295088,24852 18362 25659 5450 19677
1205372,38689 39877 35887 24561 21267
2784114,42445
2634958,44098 39877 12392 47209 37496 21903 40656 21137 24852 44815
1684278,1194 33198
3381268,3464 24852 32029 6046 38689 39972 14126 26032 19125 40380 4942 9554 11865 13031 35951
1601439,14992 15153 37687 44949 28601
3419249,17461 10831 47209 11408 21137 39589 5876 43789 37646 22825 41787 13176 22935 16797 28079 45007
972886,5876
3288057,37121 42014 44987 42736 44799
2802507,17825 27086 21242
1440533,31759 21137 33081 26317 49235 43352 13032 8571
2128112,13966 4138 28204
2061262,39040 45570 23554 20734 42265 3999 30881 28204 28594 39605 36550 41315 32747 13176 25598
1860851,39877 28199 24852 148 42495
1294240,26900 16797 196 46803 32478 13176
2485297,24852 22935 19171 44142
615968,11576 23233 19660 16589 18765 44632 41716 13176
714005,1541 196 18643 25861 24852 40403
507309,47252 43044
539759,11009 34691 49683 24852 32033 17316 44325 28204 13870 1848 4920 26940 12481 25547 6348 5077 46692 21616
730226,12899 11365 48907
2219156,45569 38785 48933 32650
1562811,46880 24489 37197 17741 49111 44765 14947 5479
2346992,24852 1744 45679
825152,45066 1940 24852 42265 28204 6195 2356 30645 9018 11199 17600 6719 44487 47435 5069 3169 16995 24037 27239 10479 7028
1217860,28427
39872,7688 40332 19348 20017 32441 49610 6101
797320,38400 42768 17948 40604 4671 39877 49224 16589 24933 26604 13176
2117678,22935
644486,24852 47766 8859 1194
1166076,40706 9825 23909 27086 21903 4086 22935 10749
1660241,20114 21137 24852 47766 30233 21288 16830 27966 39877 27104 26209 34530 31717 28008 5876 29307
2578885,12341 34949 21137 48894 27966 22959 49621
2719212,20876 24852 47766 49075 12341 32828 4297 1360
2897298,24489 13629 48845 26452 47977 36082 13176
737811,24852 26683 35168 35951
2003451,34898 24053
1242569,21137 47209 3957 13176
708051,34358 6774 47766 36011 37646 24852 25890 28476 16797 28156
979711,46979 12572 25890 31915 22827 20015 34358 37067 45007 39928 46969
115809,38241 23106 7533 42450
330006,16387 42612 13176
1003428,48679 11078 38988 19660 21077 3429 41065 3952 25466 47868
796276,12545 14947
2134549,35342 1682 34483 695 16965 9692 40299
173060,1158 21137 24852 35221 34584 34428 26915 22825 31915 26800 30391 13629 27966 44479 24518 12745 22474 45013 3296 48486 33135 19057 9203 37754
1417318,10768 49235 17027 8518 34126 13166 13176 25466 30639
1747737,31618 27845 29447 6348 39475
1094757,9225 43029 16419 18987 32303 11827 7738 34878 3265 47818 34005 28931 28427 24852 23322 21288 5422 27966 28993 21333 3990 34234 5083 1514 4091
1023763,907 22028
3096624,32710 45007 44142
556998,18432 32784 5794 5077 43352 37354 39275 13176 43772 46847
1654614,46087 47626 36397 17461 33845 47196 9839 19057 47766 16560 27845 37646 24852 38190 28985 27966 4451 21903 22935 49583 15795 18926 10749
348608,12863 31299 34487 44799 32553 29487 23909 9076 32679 26604
3263101,23044 41007 18523 20580 5785 3765 31487 37646 24852 47912 28465 39739 10130 35221 40363 39877 31720
472089,1158 45066 21903 24852 38293 8986 25890 21417 25146 7485 20670 45007 46802 19677 38383 16759 10749
1477795,21903 49683 25005 39877 46667 19660 41950 47209
1837509,25753 2604 15429
183244,35458 5771 35221 2717 49191 1831 46676 21333 31964 12919 28156
687724,16797 42585
1257586,11352 38689 13176 5077
1964277,35921 21137 25747 10912 35503 40706 37646 38689 3896 13176 39877 29126 32740
3354422,47258 9122 19125 25659 19660 25171 44261
3299383,20574 42265 21903 38293 432 45007
1917547,21288
18113,40332 47766 35221 31134 3107 8424 17008
422051,10246 28424 22935 16797 9124 34217 23288 22963 28985 18234 41678 9934 42585 28250 47209 1392 21872 13176
3380822,2120 14233
825986,11777 33666 8460 19863 16797 15902 22695 4656 12980 40376 34234 8390 20682 41290 24142 20815 6478 49622 859 36070 48109 25837 14450 20985
1334507,41602 46341 23687 36750 21903 47766 23204 3880 47144 26924 37940 14780 10429 31683 22476 5077 8536 44632 27102 7295 30183 31216 31091 15860 13944 32762 4605 43263
2857490,21903 32927 48679 27966 8518 39275 35951 13176
912310,18465
307143,47626 49683 23579 18465 39475 42557 27730 8277 18027 43122 28289 21137 30391 20754 38164 11555 28985 25931 38739 13176 17789 13740 4605
2252628,5128
2343550,43014 21903 4942
977808,44632 4210 11712
2298851,18689 5141 15902 45603 48559 46676 4698 26209
1377070,40454 47626 29307 44683 35042 20809 22963
1138234,38849 17154 46049 389 22282 9810 48246 26839 7581
2166558,45004 13944
1067908,14636 6111
235789,33000 5258 9535
3112593,16696 37215 23909
3261182,22935 47766 26324 43772
917864,3873 32691 26172 36691
3302795,21137 9839
544889,35336 21903 24852 35221 47639 7963 39993 25146 13249 27086 26604 7412
14817,5918 26587 36591
3238643,33081
995122,34335 4138 24631 10343 25272 21903 19348 32717
658852,32714 38928 10258 7862 37687
2999536,6184 17207 5337 32478 33768 13176
1151839,403 24852 25204
1103486,21938
412133,12935 24852 45346 7598 35504 27104
1898121,21573 26088 32455 45004 21292 26348 37710 49235 13914
3063004,6184 16974 15541 12341
1703133,21616 6774 46720 19125 25890 42471
3061961,34106 44152
3339861,22035 24852 16793 11688 46676
1073265,47626 26209 24852 27966 24964 31717
3106959,3055 22035 26165
2546776,35221 47766 16797 48679 39877 28373 1511
2991602,45066 21137 22825
3221782,46979 25363 1689 25886 23341 20919 9551 21330 32605 35042 23785 44142 46201 43772
1011297,22935 25931 34126
2110390,44041 3539
1520586,47626 21137 4781 29487 38739 39275 29095 18376 46059 26604
3377720,17419 27966 15950 27730 49383 13176
913397,24852 19057
1301634,4142 49235 32864 42091 27845 13675 13176 21903
781578,21137 13259 37710 32478 31343
526421,28934 40593 22035 24852 25890 39475 44987 22089 1103 38739 6631
40070,27845
1122524,196 49235
3307750,21386 24852
3072395,47626 47766 40091 7969 17317 43565 8424
1448063,27521 17794 45066 35597 21137 24852 47766 17948 5161 24489 7090 34358 39928 27966 36550 6238 27744 19057 5876 18811
1304479,1158 32665 28849 35264 23634 37724 23919 30450
2222025,33090 9124 17224 25513 34262 44085 23322 9339 48287
583891,14881 21903 24852
1560567,47660 4210 8898 20804 31622 25493 46029 40910 9175 47611
1952709,8859 9068 12013 14063 47990
2477100,27142 6664 16396 14881 48679 31801 8277 13409 26209 15462 47209 23165 29310 46720 21137 29871 30391 39094 8385 35530 27344 36070 5876 49416 34065 34126 42323 39275 13176 24964 389 22935 26084 8174 38383 48127
2962049,49683 48199 790
1919322,5876
2509434,36865 3457 22963 25931 45007 47209 44910 19057 13176
